,batch_id,datetime,pressure_hobo
16459,1327,2020-05-12 22:00:00,617.39
16460,1327,2020-05-12 22:15:00,617.6
16461,1327,2020-05-12 22:30:00,617.68
16462,1327,2020-05-12 22:45:00,617.59
16463,1327,2020-05-12 23:00:00,617.44
16464,1327,2020-05-12 23:15:00,617.8
16465,1327,2020-05-12 23:30:00,617.94
16466,1327,2020-05-12 23:45:00,617.94
16582,1327,2020-05-13 00:00:00,617.8
16583,1327,2020-05-13 00:15:00,617.92
16584,1327,2020-05-13 00:30:00,617.99
16585,1327,2020-05-13 00:45:00,618.07
16586,1327,2020-05-13 01:00:00,617.92
16587,1327,2020-05-13 01:15:00,618.21
16588,1327,2020-05-13 01:30:00,618.21
16589,1327,2020-05-13 01:45:00,618.16
16590,1327,2020-05-13 02:00:00,618.22
16591,1327,2020-05-13 02:15:00,618.16
16592,1327,2020-05-13 02:30:00,618.08
16593,1327,2020-05-13 02:45:00,617.94
16594,1327,2020-05-13 03:00:00,617.94
16595,1327,2020-05-13 03:15:00,617.94
16596,1327,2020-05-13 03:30:00,618.01
16597,1327,2020-05-13 03:45:00,618.01
16598,1327,2020-05-13 04:00:00,618.08
16599,1327,2020-05-13 04:15:00,618.08
16600,1327,2020-05-13 04:30:00,618.21
16601,1327,2020-05-13 04:45:00,618.28
16602,1327,2020-05-13 05:00:00,618.28
16603,1327,2020-05-13 05:15:00,618.49
16604,1327,2020-05-13 05:30:00,618.56
16605,1327,2020-05-13 05:45:00,618.55
16606,1327,2020-05-13 06:00:00,618.55
16607,1327,2020-05-13 06:15:00,618.68
16608,1327,2020-05-13 06:30:00,618.61
16609,1327,2020-05-13 06:45:00,618.82
16610,1327,2020-05-13 07:00:00,618.97
16611,1327,2020-05-13 07:15:00,619.04
16612,1327,2020-05-13 07:30:00,619.18
16613,1327,2020-05-13 07:45:00,619.18
16614,1327,2020-05-13 08:00:00,619.27
16615,1327,2020-05-13 08:15:00,619.27
16616,1327,2020-05-13 08:30:00,619.36
16617,1327,2020-05-13 08:45:00,619.45
16618,1327,2020-05-13 09:00:00,619.48
16619,1327,2020-05-13 09:15:00,619.5
16620,1327,2020-05-13 09:30:00,619.59
16621,1327,2020-05-13 09:45:00,619.39
16622,1327,2020-05-13 10:00:00,619.62
16623,1327,2020-05-13 10:15:00,619.54
16624,1327,2020-05-13 10:30:00,619.69
16625,1327,2020-05-13 10:45:00,619.64
16626,1327,2020-05-13 11:00:00,619.71
16627,1327,2020-05-13 11:15:00,619.78
16628,1327,2020-05-13 11:30:00,619.8
16629,1327,2020-05-13 11:45:00,619.92
16630,1327,2020-05-13 12:00:00,620.05
16631,1327,2020-05-13 12:15:00,620.15
16632,1327,2020-05-13 12:30:00,620.5
16633,1327,2020-05-13 12:45:00,620.44
16634,1327,2020-05-13 13:00:00,620.29
16635,1327,2020-05-13 13:15:00,620.15
16636,1327,2020-05-13 13:30:00,620.1
16637,1327,2020-05-13 13:45:00,620.1
16638,1327,2020-05-13 14:00:00,620.03
16639,1327,2020-05-13 14:15:00,619.8
16640,1327,2020-05-13 14:30:00,619.76
16641,1327,2020-05-13 14:45:00,619.87
16642,1327,2020-05-13 15:00:00,619.96
16643,1327,2020-05-13 15:15:00,619.72
16644,1327,2020-05-13 15:30:00,619.92
16645,1327,2020-05-13 15:45:00,619.71
16646,1327,2020-05-13 16:00:00,619.66
16647,1327,2020-05-13 16:15:00,619.62
16648,1327,2020-05-13 16:30:00,619.55
16649,1327,2020-05-13 16:45:00,619.81
16650,1327,2020-05-13 17:00:00,619.8
16651,1327,2020-05-13 17:15:00,619.99
16652,1327,2020-05-13 17:30:00,619.85
16653,1327,2020-05-13 17:45:00,619.99
16654,1327,2020-05-13 18:00:00,619.9
16655,1327,2020-05-13 18:15:00,619.98
16656,1327,2020-05-13 18:30:00,619.98
16657,1327,2020-05-13 18:45:00,619.89
16658,1327,2020-05-13 19:00:00,619.94
16659,1327,2020-05-13 19:15:00,619.94
16660,1327,2020-05-13 19:30:00,619.85
16661,1327,2020-05-13 19:45:00,619.76
16662,1327,2020-05-13 20:00:00,620.12
