,site,sample_down_to,matrix_size,mv_avg_width,nse,pbias,rmse
374,STR,11,3000,750,[-1.84612736e+14],[-1290536.05033157],[2.00648369e+08]
375,STR,11,3000,1000,[-1.73858001e+14],[-1083015.55792175],[1.94716227e+08]
376,STR,8,4000,300,[-3.99797648e+14],[-960652.99157473],[2.95273806e+08]
377,STR,8,4000,500,[-3.38506099e+14],[-1003197.62657498],[2.71699008e+08]
378,STR,8,4000,750,[-3.17220169e+14],[-802581.06798201],[2.63017836e+08]
379,STR,8,4000,1000,[-3.07299403e+14],[-710924.93583096],[2.58872348e+08]
380,TCU,60,1000,300,[0.73780104],[0.0326729],[3.55677083]
381,TCU,60,1000,500,[0.74121071],[0.04400101],[3.53356879]
382,TCU,60,1000,750,[0.74444895],[0.06206402],[3.51139133]
383,TCU,60,1000,1000,[0.74432459],[0.07188887],[3.51224565]
384,TCU,30,2000,300,[0.75991296],[0.02794734],[3.4034922]
385,TCU,30,2000,500,[0.75552737],[0.04163667],[3.43443673]
386,TCU,30,2000,750,[0.75629792],[0.05621759],[3.42902]
387,TCU,30,2000,1000,[0.75498088],[0.06454462],[3.43827327]
388,TCU,20,3000,300,[0.74606436],[0.02054443],[3.50027551]
389,TCU,20,3000,500,[0.7446623],[0.03436549],[3.50992526]
390,TCU,20,3000,750,[0.74879131],[0.04934192],[3.4814305]
391,TCU,20,3000,1000,[0.74899898],[0.05751382],[3.4799912]
392,TCU,15,4000,300,[0.76409096],[0.01638071],[3.37374842]
393,TCU,15,4000,500,[0.76096102],[0.02857224],[3.3960554]
394,TCU,15,4000,750,[0.76201173],[0.04077415],[3.38858337]
395,TCU,15,4000,1000,[0.75960593],[0.04822726],[3.4056677]
396,TIE,64,1000,300,[0.41964955],[0.04577604],[3.68596504]
397,TIE,64,1000,500,[0.39100597],[0.04808038],[3.77583114]
398,TIE,64,1000,750,[0.38180799],[0.03604455],[3.80423855]
399,TIE,64,1000,1000,[0.38094343],[0.02879184],[3.80689779]
400,TIE,32,2000,300,[0.44151078],[0.03818603],[3.61587531]
401,TIE,32,2000,500,[0.41441519],[0.04167318],[3.70255014]
402,TIE,32,2000,750,[0.40449502],[0.03421409],[3.73378018]
403,TIE,32,2000,1000,[0.39927091],[0.02881431],[3.75012184]
404,TIE,21,3000,300,[0.41191307],[0.02179597],[3.71045194]
405,TIE,21,3000,500,[0.39720902],[0.02410209],[3.75655213]
406,TIE,21,3000,750,[0.4013511],[0.02117722],[3.7436233]
407,TIE,21,3000,1000,[0.40077705],[0.01916939],[3.74541779]
408,TIE,16,4000,300,[0.43652145],[0.02945281],[3.63199081]
409,TIE,16,4000,500,[0.42164426],[0.03220231],[3.6796251]
410,TIE,16,4000,750,[0.42015076],[0.02840725],[3.68437302]
411,TIE,16,4000,1000,[0.41832236],[0.02511777],[3.69017729]
412,WAN,64,1000,300,[0.5287086],[0.03945211],[3.71519309]
413,WAN,64,1000,500,[0.53828897],[0.0482773],[3.67723818]
414,WAN,64,1000,750,[0.51206567],[0.05761977],[3.78022214]
415,WAN,64,1000,1000,[0.50576122],[0.06346517],[3.8045653]
416,WAN,32,2000,300,[0.5508041],[0.03816578],[3.62705821]
417,WAN,32,2000,500,[0.55312432],[0.04509232],[3.61767871]
418,WAN,32,2000,750,[0.53230275],[0.05323194],[3.70099962]
419,WAN,32,2000,1000,[0.52724864],[0.05876272],[3.72094309]
420,WAN,21,3000,300,[0.55172173],[0.03513826],[3.62335158]
421,WAN,21,3000,500,[0.5531419],[0.04144734],[3.61760756]
422,WAN,21,3000,750,[0.53293992],[0.04699384],[3.69847772]
423,WAN,21,3000,1000,[0.53133863],[0.05272916],[3.70481231]
424,WAN,16,4000,300,[0.53294224],[0.03673678],[3.69846854]
425,WAN,16,4000,500,[0.54324837],[0.0436897],[3.65743561]
426,WAN,16,4000,750,[0.53496775],[0.05057905],[3.69044019]
427,WAN,16,4000,1000,[0.53614427],[0.05496168],[3.68576887]
